Reachability,Admin Status,Device Name,IP Address,DNS Name,Device Type,Last Inventory Collection Status,Last Successful Collection Time,Software Version,Location,Creation Timestamp,Serial Number
REACHABLE,Managed,anc-rr01-secondtier-vrr,124.195.92.3,124.195.92.3,Cisco IOS XRv 9000 Router,Completed,"June 23, 2022 4:01:05 AM UTC",7.2.2,01JKU007 - Jakarta Ancol,"November 26, 2019 3:08:10 AM UTC",FCH2222V2FJ
REACHABLE,Managed,anc-rr02-firsttier-vrr,124.195.96.4,124.195.96.4,Cisco IOS XRv 9000 Router,Completed with Warning,"May 27, 2022 3:12:04 AM UTC",7.5.2,01JKU007 - Jakarta Ancol,"June 22, 2021 3:49:34 AM UTC",FCH2222V2LU
REACHABLE,Managed,BDG-ABKP-EN1-C55A2,114.1.187.76,114.1.187.76,Cisco NCS 55A2-MOD-S,Completed,"July 20, 2022 8:04:54 PM UTC",7.3.1,03SRN027 AEB_KOPO WEST JAVA,"June 23, 2021 4:32:58 PM UTC",FOC2503R06A
REACHABLE,Managed,BDG-ACMI-EN1-C506Z,114.1.187.186,114.1.187.186,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:17:46 PM UTC",7.3.2,03BDG031 ARCAMANIK WEST JAVA,"February 24, 2022 2:03:51 PM UTC",FOC2551P4WW
REACHABLE,Managed,BDG-ACMN-EN1-C55A2,114.1.187.102,114.1.187.102,Cisco NCS 55A2-MOD-S,Completed,"July 20, 2022 8:09:51 PM UTC",7.3.2,03BDG096 ARCAMANIK_IM WEST JAVA,"September 25, 2021 9:06:35 PM UTC",FOC2451R0ZN
REACHABLE,Managed,BDG-AGRK-EN1-C506Z,114.1.186.176,114.1.186.176,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:04:37 PM UTC",7.3.1,03SRN732 GG_ANGGREK_SRN_MT WEST JAVA,"June 21, 2021 5:34:54 PM UTC",FOC2515NZ2M
REACHABLE,Managed,BDG-AJSR-EN1-C506Z,114.1.187.212,114.1.187.212,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:18:50 PM UTC",7.3.2,03SRN040 ARJASARI WEST JAVA,"March 1, 2022 9:50:49 AM UTC",FOC2551N3ZS
REACHABLE,Managed,BDG-ALDH-EN1-C506Z,114.1.186.14,114.1.186.14,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:06:48 PM UTC",7.3.2,03SRN588 ALAMENDAH_SRN_GH WEST JAVA,"August 5, 2021 8:01:05 PM UTC",FOC2522NGEZ
REACHABLE,Managed,BDG-ALKT-EN1-C506Z,114.1.187.196,114.1.187.196,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:18:20 PM UTC",7.3.2,03BDG015 AL_KAUTSAR WEST JAVA,"February 26, 2022 7:44:50 AM UTC",FOC2551P4WR
REACHABLE,Managed,BDG-AMRT-EN1-C516Z,114.1.186.137,114.1.186.137,Cisco NCS 540X-16Z8Q2C-D Router,Completed,"July 20, 2022 8:25:32 PM UTC",7.5.2,03SRN727 AMARANTA_SRN_TB WEST JAVA,"July 13, 2022 3:40:39 PM UTC",FOC2615KYUW
REACHABLE,Managed,BDG-ANCL-EN1-C55A2,114.1.186.92,114.1.186.92,Cisco NCS 55A2-MOD-S,Completed,"July 20, 2022 8:02:28 PM UTC",7.3.1,ANCOL 03BDG037 BANDUNG WEST JAVA,"May 6, 2021 11:42:22 AM UTC",FOC2503R07G
REACHABLE,Managed,BDG-ANSR-EN1-C506Z,114.1.186.156,114.1.186.156,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:07:21 PM UTC",7.3.2,03SRN665_ABDI_NEGARA_SRN_ST BANDUNG WEST JAVA,"August 18, 2021 10:53:11 AM UTC",FOC2522P2M0
REACHABLE,Managed,BDG-APCM-EN1-C506Z,114.1.187.118,114.1.187.118,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:13:42 PM UTC",7.3.2,03SRN153 _APTCIMBULEUIT WEST JAVA,"January 12, 2022 4:45:38 AM UTC",FOC2539NU6Q
REACHABLE,Managed,BDG-APNI-EN1-C506Z,114.1.187.182,114.1.187.182,Cisco NCS 540X-6Z18G-SYS-D Router,Completed,"July 20, 2022 8:17:28 PM UTC",7.3.2,03BDG262 ANTAPANI_PL WEST JAVA,"February 22, 2022 8:22:01 AM UTC",FOC2551P4YN
REACHABLE,Managed,BDG-ARJN-AN1-C5504,114.1.187.17,114.1.187.17,Cisco NCS 5504,Completed,"July 20, 2022 8:17:08 PM UTC",7.3.2,03BDG084 ARJUNA WEST JAVA,"December 30, 2021 4:33:20 AM UTC",FOX2445P4HQ
REACHABLE,Managed,BDG-ARJN-SN1-CS920,114.1.187.66,114.1.187.66,Cisco ASR 920-12SZ-IM Router,Completed,"July 13, 2022 11:56:14 AM UTC",15.6(2)S,03BDG084 ARJUNA BANDUNG WEST JAVA,"July 5, 2022 3:47:49 PM UTC",FOC2502N8GZ
